Lewis acid;Electronicity;D;S;n;g_n;d
Ag;2.677;1;1;4;1;10
Cu;2.961;1;1;3;1;10
Cs;2.696;0;1;0;0;0
K;2.692;0;1;0;0;0
Li;2.567;0;1;0;0;0
Na;2.662;0;1;0;0;0
Rb;2.695;0;1;0;0;0
Tl;2.783;1;1;5;1;10
Ca;2.857;0;1;0;0;0
In;3.261;1;1;4;1;10
Be;2.204;0;1;0;0;0
Mg;2.687;0;1;0;0;0
Cd;3.836;1;1;3;1;10
Co;2.646;1;1;3;1;7
Cr;2.953;1;1;3;1;5
Fe;2.654;1;1;3;1;6
Mn;2.990;1;1;3;1;5
Ni;3.115;1;1;3;1;8
Pb;2.839;1;1;5;1;10
V;2.648;1;1;3;1;3
Zn;3.315;1;1;3;1;10
Ba;2.899;0;1;0;0;0
Ce;3.590;1;1;5;1;1
Ga;2.971;1;1;3;1;10
La;3.238;1;1;5;1;1
Nd;3.381;1;1;5;1;1
Np;3.336;1;1;6;1;1
Sc;2.708;1;1;3;1;1
U;3.350;1;1;6;1;1
Y;3.071;1;1;3;1;1
Al;2.443;1;1;0;0;0
Th;4.025;1;1;6;1;1
Hf;3.814;1;1;5;1;2
Zr;3.568;1;1;4;1;2
Hg;2.860;1;1;5;1;10
Sn;2.399;1;1;4;1;10
Sr;2.963;0;1;0;0;0
Ti;2.644;1;1;3;1;2
Ac;3.692;1;1;6;1;1
Pr;3.707;1;1;5;1;1
Eu;3.569;1;1;5;1;1
Gd;3.732;1;1;5;1;1
Am;3.416;1;1;6;1;1
Tm;3.685;1;1;5;1;1
Yb;3.439;1;1;5;1;1
Lu;3.742;1;1;5;1;1
Pu;3.382;1;1;6;1;1
Rh;1.857;1;1;4;1;7
Pd;2.490;1;1;4;1;8
Al+3;0.015;1;0;0;0;0
Zr+4;0.021;1;0;4;1;0
Sc+3;0.085;1;0;3;1;0
Hf+4;0.130;1;0;5;1;0
Th+4;0.187;1;0;6;1;0
Y+3;0.321;1;0;3;1;0
La+3;0.488;1;0;5;1;0
Am+3;0.687;1;0;6;1;0
Be+2;0.726;0;0;0;0;0
Yb+3;0.733;1;0;5;1;0
Pu+3;0.782;1;0;6;1;0
Tl+;2.191;1;1;5;1;10
Ag+;2.239;1;0;4;1;10
Np+3;0.795;1;0;6;1;0
Eu+3;0.803;1;0;5;1;0
Ac+3;0.845;1;0;6;1;0
Ce+3;0.855;1;0;5;1;0
U+3;0.856;1;0;6;1;0
Pr+3;0.918;1;0;5;1;0
Lu+3;1.042;1;0;5;1;0
Mg+2;1.049;0;0;0;0;0
Cm+3;1.099;1;0;6;1;0
Fe+3;1.112;1;0;3;1;5
Ba+2;1.146;0;0;0;0;0
Hg+2;2.319;1;0;5;1;10
Cu+2;2.332;1;0;3;1;9
Ga+3;1.156;1;0;3;1;10
Cr+3;1.161;1;0;3;1;3
Sn+2;1.387;1;1;4;1;10
In+3;1.472;1;0;4;1;10
Bi+3;1.539;1;1;5;1;10
Fe+2;1.547;1;0;3;1;6
Co+2;1.583;1;0;3;1;7
Mn+2;1.692;1;0;3;1;5
Pb+2;1.831;1;1;5;1;10
Ni+2;2.069;1;0;3;1;8
Zn+2;2.095;1;0;3;1;10
Tl+3;2.459;1;0;5;1;10
Cd+2;2.731;1;0;4;1;10
Ce+4;0.536;1;0;5;1;0
Eu+2;1.406;1;0;5;1;0
In+2;2.082;1;1;4;1;10
In+;2.629;1;1;4;1;10
Sn+4;0.486;1;0;4;1;10
Ti+2;1.184;1;0;3;1;2
Tl+2;1.863;1;1;5;1;10
Yb+2;1.421;1;0;5;1;0
Pu+4;0.372;1;0;6;1;0
Np+4;0.263;1;0;6;1;0
Hg2+2;2.420;1;0;5;1;10
UO2+;0.575;1;0;6;1;0
UO2+2;0.034;1;0;6;1;0
NpO2+;0.525;1;0;6;1;0
NpO2+2;0.114;1;0;6;1;0
PuO2+;0.626;1;0;6;1;0
PuO2+2;0.372;1;0;6;1;0
VO+2;0.387;1;0;3;1;1
VO2+;0.639;1;0;3;1;0
