Element;Atomic radius (pm);Electronegativity;Atomization enthalpy;Bond dissociation energy;Born exponent
H;32.0;2.592;218.0;436.0;5
Li;133.6;0.886;160.1;102.9;5
Be(I);88.7;1.560;327.6;282.8;5
Be(II);88.7;1.810;327.6;282.8;5
B(I);82.2;1.530;562.7;320.9;5
B(II);82.2;2.190;562.7;320.9;5
B(III);82.2;2.275;562.7;320.9;5
C;77.2;2.746;716.7;357.3;5
N(3);73.4;3.194;472.8;397.0;5
N(2);73.4;3.194;472.8;279.9;5
N(1);73.4;3.194;472.8;162.3;5
O(3);70.2;3.654;249.4;435.1;7
O(2);70.2;3.654;249.4;287.9;7
O(1);70.2;3.654;249.4;140.6;7
F(3);68.1;4.000;79.1;473.2;7
F(2);68.1;4.000;79.1;321.3;7
F(1);68.1;4.000;79.1;169.5;7
Ne;71.0;4.352;0;0;7
Na;153.9;0.835;107.9;68.6;7
Mg;137.3;1.318;196.6;177.0;7
Al(I);125.8;0.840;326.4;201.7;7
Al(II);125.8;1.630;326.4;201.7;7
Al(III);125.8;1.714;326.4;201.7;7
Si(III);116.9;1.990;455.6;226.4;7
Si(IV);116.9;2.138;455.6;226.4;7
P(3);110.7;2.515;333.9;251.0;7
P(2);110.7;2.515;333.9;238.1;7
P(1);110.7;2.515;333.9;224.7;7
S(3);104.9;2.957;278.7;275.7;9
S(2);104.9;2.957;278.7;252.7;9
S(1);104.9;2.957;278.7;229.7;9
Cl(3);99.4;3.475;121.8;300.4;9
Cl(2);99.4;3.475;121.8;271.5;9
Cl(1);99.4;3.475;121.8;242.7;9
Ar;97.0;4.006;0;0;9
K;196.2;0.445;89.1;54.8;9
Ca;174.0;0.946;177.8;128.9;9
Sc(II);169.5;0.640;377.8;131.0;9
Sc(III);169.5;1.020;377.8;131.0;9
Ti(II);165.0;0.640;472.8;133.1;9
Ti(III);165.0;1.090;472.8;133.1;9
Ti(IV);165.0;1.500;472.8;133.1;9
V(II);160.5;0.690;514.2;135.1;9
V(III);160.5;1.390;514.2;135.1;9
V(IV);160.5;1.890;514.2;135.1;9
V(V);160.5;2.510;514.2;135.1;9
Cr(II);156.0;1.240;398.0;137.2;9
Cr(III);156.0;1.660;398.0;137.2;9
Cr(IV);156.0;2.290;398.0;137.2;9
Cr(V);156.0;2.830;398.0;137.2;9
Cr(VI);156.0;3.370;398.0;137.2;9
Mn(II);151.6;1.660;280.3;139.3;9
Mn(III);151.6;2.200;280.3;139.3;9
Mn(IV);151.6;2.740;280.3;139.3;9
Mn(V);151.6;3.280;280.3;139.3;9
Mn(VI);151.6;3.820;280.3;139.3;9
Mn(VII);151.6;4.360;280.3;139.3;9
Fe(II);147.1;1.640;415.5;141.4;9
Fe(III);147.1;2.200;415.5;141.4;9
Co(II);142.6;1.960;428.4;143.5;9
Co(III);142.6;2.560;428.4;143.5;9
Co(IV);142.6;3.100;428.4;143.5;9
Ni(II);138.1;1.940;430.1;145.6;9
Ni(III);138.1;2.730;430.1;145.6;9
