Lewis acid;EA;CA;DA
Au+;-3.00;0.190;0.0
Ag+;-1.52;0.143;0.0
Cu+;-0.56;0.430;2.5
Hg+2;1.35;0.826;0.0
Pd+2;1.72;0.929;6.0
CH3Hg+;1.60;0.640;0.0
Tl+3;2.55;0.960;0.0
Cu+2;1.25;0.466;6.0
H+;3.07;1.009;20.0
Cd+2;0.99;0.300;0.6
Ni+2;1.20;0.300;4.5
Co+3;3.30;0.875;7.0
Zn+2;1.43;0.312;4.0
Co+2;1.33;0.276;3.0
Fe+2;1.40;0.256;2.0
In+3;4.49;0.714;0.5
Bi+3;5.91;0.926;0.0
VO+2;3.81;0.593;3.5
Pb+2;2.76;0.413;0.0
Mn+2;1.64;0.223;1.0
Tl+;0.1;0.056;0.0
ZnCA+2;0.9;0.33;1.4
Ga+3;5.72;0.809;1.5
Cr+3;5.15;0.721;1.5
Am+3;4.29;0.595;0.0
Fe+3;6.07;0.841;1.5
U+4;7.55;0.968;3.0
Sn+2;5.65;0.700;0.0
Pu+4;7.90;0.950;
UO2+2;4.95;0.589;1.0
Be+2;5.43;0.614;
Lu+3;4.57;0.454;0.0
La+3;3.90;0.379;0.0
Mg+2;1.86;0.178;1.5
Sc+3;7.03;0.671;0.0
Al+3;6.90;0.657;2.0
Ca+2;0.98;0.093;0.0
Y+3;4.76;0.477;0.0
Th+4;8.44;0.771;0.0
Ba+2;0.54;0.043;0.0
Na+;-0.20;-0.014;0.0
Li+;0.57;0.026;0.0
Cu(tetb)+2;0.40;0.193;0.3
