Acid;I1;A
H;13.59;0.75
Li;5.39;0.62
B;8.30;0.28
C;11.26;1.27
N;14.53;0.0
O;13.61;1.46
F;17.42;3.40
Na;5.14;0.55
Al;5.98;0.44
Si;8.15;1.38
P;10.48;0.75
S;10.36;2.08
Cl;13.01;3.62
K;4.34;0.50
V;6.74;0.53
Cr;6.76;0.67
Fe;7.90;0.16
Co;7.86;0.66
Ni;7.63;1.16
Cu;7.72;1.23
Se;9.75;2.02
Br;11.84;3.36
Rb;4.18;0.49
Zr;6.84;0.43
Nb;6.88;0.89
Mo;7.10;0.75
Rh;7.46;1.14
Pd;8.33;0.56
Ag;7.57;1.30
Sn;7.34;1.25
Sb;8.64;1.05
Te;9.01;1.97
I;10.45;3.06
Ba;5.21;0.0
Pt;9.01;2.1
Au;9.22;2.3
Li+;75.6;5.39
Na+;47.3;5.14
Rb+;27.5;4.18
Cu+;20.3;7.72
Ag+;21.5;7.57
Au+;20.5;9.22
Tl+;20.4;6.11
Mg+2;80.1;15.03
Ca+2;51.2;11.87
Ti+2;27.5;13.57
Mn+2;33.7;15.14
Fe+2;30.6;16.18
Ni+2;35.2;18.15
Cu+2;36.8;20.29
Zn+2;39.7;17.96
Cd+2;37.5;16.90
Hg+2;34.2;18.75
Pb+2;31.9;15.03
Ba+2;35.5;10.00
Pd+2;32.9;19.42
Al+3;120.0;28.4
Sc+3;73.9;24.8
Fe+3;56.8;30.6
La+3;50.0;19.2
Tl+3;50.7;29.8
I+;19.1;10.5
Br+;21.6;11.8
I2;9.3;2.6
Cl2;11.4;2.4
CO2;13.8;0.0
SO2;12.3;1.1
AlCl3;12.8;1
