Element;A;I1;I2;I3;I4;I5;I6;I7;I8
H;0.7542;13.56;0;0;0;0;0;0;0
He;-0.22;24.59;54.42;0;0;0;0;0;0
Li;0.591;5.39;75.64;122.42;0;0;0;0;0
Be;-0.19;9.32;18.21;153.85;216.6;0;0;0;0
B;0.30;8.30;25.16;37.92;258.0;338.5;0;0;0
C;1.27;11.26;24.38;47.87;64.1;390.1;487.4;0;0
N;-0.21;14.53;29.60;47.43;77.0;97.3;549;663;0
O;1.467;13.62;35.12;54.89;77.5;113.3;137.3;735;867
F;3.448;17.42;34.99;62.65;87.3;114.8;156.5;184.2;949
Ne;1.28;21.57;41.08;63.5;97.1;112.0;159.1;206.6;237.9
Na;0.34;5.14;47.30;71.65;99.0;113.1;173.9;210.5;263.6
Mg;-0.22;7.65;15.04;80.12;109.4;142.2;118.5;227.9;269.0
Al;0.5;5.99;18.83;28.44;119.6;154.9;192.7;245.1;289.2
Si;1.84;8.15;16.34;33.46;44.84;167.4;207.9;250.5;309.1
P;0.8;10.49;19.73;30.16;51.1;66.6;222.8;268.3;315.7
S;2.077;10.36;23.35;35.0;47.32;72.2;87.5;285.7;336.2
Cl;3.614;12.97;23.80;39.9;53.5;68.0;96.5;113.8;356.1
Ar;-0.37;15.76;27.63;40.90;55.7;75.7;92.1;124.1;143.2
K;0.5;4.34;31.82;46;61.7;83.3;101.4;111.7;155.0
Ca;-1.93;6.11;11.87;51.21;68.1;86.1;110.5;130.6;150.7
Sc;-0.73;6.56;12.80;24.75;74.5;93.9;114.2;141.3;163.4
Ti;0.39;6.82;13.58;27.5;45.40;101.7;123.5;114.9;175.7
V;0.65;6.74;14.21;29.3;48.35;68.7;132.8;156.9;181.3
Cr;0.98;6.77;16.50;31.0;55.9;72.4;96.0;167.6;193.9
Mn;-0.97;7.44;15.64;33.69;53.4;75.8;100.7;127.4;206.3
Fe;0.58;7.89;16.18;30.64;55.9;79.0;104.9;133.1;162.8
Co;0.94;7.87;17.06;33.49;53.2;82.2;108.9;138.2;169.6
Ni;0;7.64;18.15;35.16;56.0;79.1;112.9;143.1;175.7
Cu;1.226;7.73;20.29;36.83;58.9;82.7;109.3;148.0;181.5
Zn;0.09;9.39;17.96;39.70;61.6;86.3;113.7;148.8;187.5
Ga;0.39;6.00;20.51;30.70;64.3;89.8;118.3;149.2;182.7
Ge;1.74;7.90;15.94;34.21;45.51;93.3;122.6;154.7;189.1
As;0;9.82;18.62;28.34;49.25;62.6;127.0;159.9;195.7
Se;2.020;9.75;21.19;32.0;43.03;67.1;81.9;165.3;201.9
Br;3.37;11.84;21.80;35.9;47.77;60.1;87.2;103.5;208.2
Kr;-0.42;14.00;24.37;36.9;52.1;65.9;79.6;109.6;127.3
Rb;0.6;4.18;27.5;40;52.5;71.1;86.4;101.5;134.3
Sr;-1.51;5.69;11.03;43.6;56.9;71.7;92.7;109.4;125.8
Y;-0.4;6.22;12.24;20.5;61.5;77.1;93.5;116.7;134.8
Zr;0.45;6.84;13.13;22.98;34.83;82.6;99.9;117.9;143.2
Nb;1.13;6.88;14.32;25;37.7;51.9;106.3;125.3;144.7
Mo;1.18;7.10;16.15;27.13;40.53;55.6;71.7;132.7;153.2
Tc;1.0;7.28;15.26;29.54;43;59;70;94;0
Ru;0;7.37;16.76;28.46;46.52;62.9;80.6;99.6;119.3
Rh;1.68;7.46;18.08;31.05;45.63;66.7;85.2;105.0;125.8
Pd;1.02;8.34;19.43;32.9;48.77;65.6;89.9;110.5;132.2
Ag;1.301;7.58;21.49;34.82;51.8;69.6;88.7;116.2;138.7
Cd;-0.27;8.99;16.91;37.5;55.0;73.4;93.5;114.7;145.5
In;0;5.79;18.87;28.0;57.8;77.4;98.2;120.5;143.7
Sn;0;7.34;14.63;30.49;40.72;80.9;103.1;126.1;150.5
