Base;NumberCOO;pKaCOO;NumberNH;pKaNH;Gamma
H2AlaO2-;1;2.344;1;9.868;1
H2AlbO2-;1;3.551;1;10.295;1
HArgH(H2)O2-2;1;1.823;2;12.1;1
H3AsnO2;1;2.16;1;8.73;1
O2H2AspO2-2;1;3.90;1;10.002;1
H2CreO2-;0;0;1;2.631;1
Edta-4;4;2.69;2;10.948;1
H3GlnO2;1;2.19;1;9.00;1
O2H2GluO2-2;2;4.30;1;9.960;1
H2GlyO2-;1;2.350;1;9.778;1
HHisH2O2-;1;1.6;2;9.28;1
H2IleO2-;1;2.318;1;9.758;1
H2LeuO2-;1;2.328;1;9.744;1
H2LysH2O2-;1;1.77;2;10.82;1
O2H2MeaO2-2;2;3.59;1;9.48;1
H2MetO2-;1;2.18;1;9.08;1
Nta-3;3;2.52;1;9.46;1
H2PheO2-;1;2.20;1;9.31;1
H2ProO2-;1;1.952;1;10.640;1
HSerH2O2-;1;2.187;1;9.209;1
HThrH2O2-;1;2.088;1;9.100;1
HTrpH2O2-;1;2.54;2;9.33;1
TyrH3O2-;1;2.24;1;10.47;1
H2ValO2-;1;2.286;1;9.719;1
H2Bua;0;0;1;10.640;0
HDea;0;0;1;11.00;0
HDma;0;0;1;10.774;0
H2EnH2;0;0;2;9.928;0
H2Hxa;0;0;1;10.630;0
H2Ipa;0;0;1;10.67;0
H2Mma;0;0;1;10.632;0
H2Ppa;0;0;1;10.566;0
Tma;0;0;1;9.799;0
BuO2-;1;4.818;0;0;1
EtO2-;1;4.757;0;0;1
HxO2-;1;4.857;0;0;1
IbuO2-;1;4.849;0;0;1
IvaO2-;1;4.781;0;0;1
PnO2-;1;4.843;0;0;1
PpO2-;1;4.874;0;0;1
O2(O2)CitO2-3;3;6.396;0;0;1
HOH2GllH(OH)O2-;1;3.40;0;0;1
O2(O)GltO2-2;2;4.44;0;0;1
HOHHybO2-;1;4.34;0;0;1
OHybO2-;1;2.50;0;0;1
O2(O2)IcitO2-3;3;5.78;0;0;1
HOHLacO2-;1;3.860;0;0;1
OLacO2-;1;2.48;0;0;1
O2(HO)HMalO2-2;2;5.097;0;0;1
O2(O)MalO2-2;2;4.37;0;0;1
HOH2MlnO2-;1;4.40;0;0;1
O2MlnO2-2;2;5.696;0;0;1
HOH2OxO2-;1;3.832;0;0;1
OHOxO2-;1;3.46;0;0;1
O2OxO2-2;2;4.266;0;0;1
O2SucO2-2;2;5.636;0;0;1
HOH2TarH2(OH)2O2-;1;3.48;0;0;1
O2TarH2(OH)2O2-2;2;4.366;0;0;1
O2FumO2-2;2;4.48;0;0;1
O2IphtO2-2;2;4.50;0;0;1
PhaO2-;1;4.310;0;0;1
O2PhtO2-2;2;5.411;0;0;1
SalO2-2;1;2.972;0;0;1
