Group;DeltaPhi;DeltaPc;DeltaTb
-CH3;0.0141;-0.0012;21.98
-CH2-;0.0189;0;24.22
-CH2- cycl.;0.0100;0.0025;26.44
-CH<;0.0164;0.0020;11.86
-CH< cycl.;0.0122;0.0004;21.66
>C<;0.0067;0.0043;4.50
>C< cycl.;0.0042;0.0061;11.12
=CH2;0.0113;-0.0028;16.44
=CH-;0.0129;-0.0006;27.95
=CH- cycl.;0.0082;0.0011;28.03
=C<;0.0117;0.0011;23.58
=C< cycl.;0.0143;0-0008;28.19
=CH- 2arom.;0.0082;0.0011;28.53
=C< 2arom.;0.0143;0.0008;30.76
=C< 3arom.;0.0143;0.0008;45.46
#CH;0.0027;-0.0008;21.71
#C-;0.0020;0.0016;32.99
-OH;0.0741;0.0112;106.27
-OH prim.;0.0741;0.0112;88.46
-OH sec.;0.0741;0.0112;80.63
-OH tert.;0.0741;0.0112;69.32
-OH arom.;0.0240;0.0184;70.48
-O-;0.0168;0.0015;25.16
-O- cycl.;0.0098;0.0048;32.98
-OOH;0.0909;0.0127;72.92
-CHO;0.0379;0.0030;83.38
-CO-;0.0380;0.0031;71.53
-CO- cycl.;0.0284;0.0028;94.76
-COO-;0.0481;0.0005;78.85
-COO- cycl.;0.0481;0.0005;172.49
-COOH;0.0791;0.0077;169.83
-CONH2;0.0623;0.0140;230.39
-CONH-;0.0675;0.0108;225.09
-CONH- cycl.;0.0414;0.0142;246.13
-CON<;0.0549;0.0105;142.77
-CON< cycl.;0.0453;0.0102;180.22
-NH2;0.0243;0.0109;61.98
-NH2 arom.;0.0243;0.0109;86.63
-NH-;0.0295;0.0077;45.28
-NH- cycl.;0.0130;0.0114;65.50
-N<;0.0169;0.0074;25.78
-N< cycl.;0.0169;0.0074;32.77
>NOH;0.0910;0.0186;104.87
>NNO;0.0567;0.0076;184.68
N heter.;0.0085;0.0076;39.88
=NH;0.0255;-0.0099;73.40
=N-;0.0255;-0.0099;31.32
=N- cycl.;0.0085;0.0076;43.54
=NNH- cycl.;0.0215;0.0190;179.43
-N=CRNH- cycl.;0.0358;0.0198;284.16
-N=NNH-;0.0805;-0.0121;257.29
-N=N-;0.0510;-0.0198;90.87
-NO;0.0398;0.0002;30.91
-NO2;0.0437;0.0064;113.99
-CN;0.0496;-0.0101;119.16
-CN arom.;0.0496;-0.0101;95.43
-F;0.0111;-0.0057;0.13
-F arom.;0.0111;-0.0057;-7.81
-Cl;0.0105;-0.0049;34.08
-Cl prim.;0.0105;-0.0049;62.63
-Cl sec.;0.0105;-0.0049;49.41
-Cl tert.;0.0105;-0.0049;36.23
-Cl arom.;0.0105;-0.0049;36.79
-Br;0.0133;0.0057;76.28
-Br arom.;0.0133;0.0057;61.85
-I;0.0068;-0.0034;111.67
-I arom.;0.0068;-0.0034;99.93
-SH;0.0031;0.0084;81.71
-SH arom.;0.0031;0.0084;77.49
-S-;0.0119;0.0049;69.42
-S- cycl.;0.0019;0.0051;69.00
-SO-;0;0;154.50
-SO2-;0;0;171.58
-CS-;0;0;106.20
-CS- cycl.;0;0;179.26
-PH2;0;0;59.11
-PH-;0;0;40.54
-P<;0;0;43.75
-PO<;0;0;107.23
-SiH<;0;0;27.15
>Si<;0;0;8.21
>Si< cycl.;0;0;-12.16
-B<;0;0;-27.27
-Se-;0;0;92.06
>Sn<;0;0;62.89
