Fragment;Tc;Pc;Vc;Tb;Tf;DHf;DGf;a;b;c;d;Hvb;Hf;EtaA;EtaB;NA;M
-CH3;0.0141;-0.0012;65;23.58;-5.10;-76.45;-43.96;1.95e1;-8.08e-3;1.53e-4;-9.67e-8;2.373;0.908;548.29;-1.719;4;15.03502
-CH2-;0.0189;0;56;22.88;11.27;-20.64;8.42;-9.09e-1;9.50e-2;-5.44e-5;1.19e-8;2.226;2.590;94.16;-0.199;3;14.02705
-CH<;0.0164;0.0020;41;21.74;12.64;29.89;58.36;-2.30e1;2.04e-1;-2.65e-4;1.20e-7;1.691;0.749;-322.15;1.187;2;13.01908
>C<;0.0067;0.0043;27;18.25;46.43;82.23;116.02;-6.62e1;4.27e-1;-6.41e-4;3.01e-7;0.636;-1.460;-573.56;2.307;1;12.01111
=CH2;0.0113;-0.0028;56;18.18;-4.32;-9.63;3.77;2.36e1;-3.81e-2;1.72e-4;-1.03e-7;1.724;-0.473;495.01;-1.539;3;14.02705
=CH-;0.0129;-0.0006;46;24.96;8.73;37.97;48.53;-8.00;1.05e-1;-9.63e-5;3.56e-8;2.205;2.691;82.28;-0.242;2;13.01908
=C<;0.0117;0.0011;38;24.14;11.14;83.99;92.36;-2.81e1;2.08e-1;-3.06e-4;1.46e-7;2.138;3.063;0;0;1;12.01111
=C=;0.0026;0.0028;36;26.15;17.78;142.14;136.70;2.74e1;-5.57e-2;1.01e-4;-5.02e-8;2.661;4.720;0;0;1;12.01111
#CH;0.0027;-0.0008;46;9.20;-11.18;79.30;77.71;2.45e1;-2.71e-2;1.11e-4;-6.78e-8;1.155;2.322;0;0;2;13.01908
#C-;0.0020;0.0016;37;27.38;64.32;115.51;109.82;7.87;2.01e-2;-8.33e-6;1.39e-9;3.302;4.151;0;0;1;12.01111
-CH2- cycl.;0.0100;0.0025;48;27.15;7.75;-26.80;-3.68;-6.03;8.54e-2;-8.00e-6;-1.80e-8;2.398;0.490;307.53;-0.798;3;14.02705
-CH< cycl.;0.0122;0.0004;38;21.78;19.88;8.67;40.99;-2.05e1;1.62e-1;-1.60e-4;6.24e-8;1.942;3.243;-394.29;1.251;2;13.01908
>C< cycl.;0.0042;0.0061;27;21.32;60.15;79.72;87.88;-9.09e1;5.57e-1;-9.00e-4;4.69e-7;0.644;-1.373;0;0;1;12.01111
=CH- cycl.;0.0082;0.0011;41;26.73;8.13;2.09;11.30;-2.14;5.74e-2;-1.64e-6;-1.59e-8;2.544;1.101;259.65;-0.702;2;13.01908
=C< cycl.;0.0143;0.0008;32;31.01;37.02;46.43;54.05;-8.25;1.01e-1;-1.42e-4;6.78e-8;3.059;2.394;-245.74;0.912;1;12.01111
-F;0.0111;-0.0057;27;-0.03;-15.78;-251.92;-247.19;2.65e1;-9.13e-2;1.91e-4;-1.03e-7;-0.670;1.398;0;0;1;18.9984
-Cl;0.0105;-0.0049;58;38.13;13.55;-71.55;-64.31;3.33e1;-9.63e-2;1.87e-4;-9.96e-8;4.532;2.515;625.45;-1.814;1;35.453
-Br;0.0133;0.0057;71;66.86;43.43;-29.48;-38.06;2.86e1;-6.49e-2;1.36e-4;-7.45e-8;6.582;3.603;738.91;-2.038;1;79.909
-I;0.0068;-0.0034;97;93.84;41.69;21.06;5.74;3.21e1;-6.41e-2;1.26e-4;-6.87e-8;9.520;2.724;809.55;-2.224;1;126.904
-OH alc.;0.0741;0.0112;28;92.88;44.45;-208.04;-189.20;2.57e1;-6.91e-2;1.77e-4;-9.88e-8;16.826;2.406;2173.72;-5.057;2;17.00737
-OH phen.;0.0240;0.0184;-25;76.34;82.83;-221.65;-197.37;-2.81;1.11e-1;-1.16e-4;4.94e-8;12.499;4.490;3018.17;-7.314;2;17.00737
-O-;0.0168;0.0015;18;22.42;22.23;-132.22;-105.00;2.55e1;-6.32e-2;1.11e-4;-5.48e-8;2.410;1.188;122.09;-0.386;1;15.9994
-O- cycl.;0.0098;0.0048;13;31.22;23.05;-138.16;-98.22;1.22e1;-1.26e-2;6.03e-5;3.86e-8;4.682;5.879;440.24;-0.953;1;15.9994
>CO;0.0380;0.0031;62;76.75;61.20;-133.22;-120.50;6.45;6.70e-2;-3.57e-5;2.86e-9;8.972;4.189;340.35;-0.350;2;28.01051
>CO cycl.;0.0284;0.0028;55;94.97;75.97;-164.50;-126.27;3.04e1;-8.29e-2;2.36e-4;-1.31e-7;6.645;0;0;0;2;28.01051
-CHO;0.0379;0.0030;82;72.24;36.90;-162.03;-143.48;3.09e1;-3.36e-2;1.60e-4;-9.88e-8;9.093;3.197;740.92;-1.713;3;29.01848
-COOH;0.0791;0.0077;89;169.09;155.50;-426.72;-387.87;2.41e1;4.27e-2;8.04e-5;-6.87e-8;19.537;11.051;1317.23;-2.578;4;45.01788
