Atom group;r;A2;A1;I1;I2
BF4;2.05;0;3.4;15.02;30.04;0
BO2;1.20;0;4.32;11.55;23.10;9.236
Br;1.90;0;3.37;11.84;21.80;0
BrO;1.65;0;2.35;12.70;25.40;8.63
BrO3;2.14;0;3.22;13.15;26.30;0
CN;1.87;0;3.82;14.20;28.40;9.21
CO;1.13;0;0;14.01;28.02;0
CO3;1.89;-3.39;2.69;13.00;26.00;10.329
Cl;1.68;0;3.614;12.97;23.80;0
ClO;1.55;0;2.28;10.40;20.80;7.53
ClO2;1.95;0;2.14;11.10;22.20;0
ClO3;2.08;0;4.25;11.70;23.40;1.96
ClO4;2.29;0;5.25;13.49;26.98;0
CrO4;2.29;0;4.98;11.84;23.68;6.51
F;1.26;0;3.448;17.42;34.99;3.18
FeCl4;3.17;0;6.00;11.74;23.48;0
H;1.48;0;0.7542;13.56;27.12;0
HO2;1.67;0;3.04;11.53;23.06;11.65
HS;1.91;0;2.32;10.40;20.80;7.02
H2O;1.52;0;1.78;12.61;25.22;13.997
I;2.11;0;3.08;10.45;19.10;0
IO;1.82;0;2.38;11.93;23.86;10.64
IO3;2.18;0;5.5;12.75;25.50;0.77
MnO4;2.20;0;4.8;12.07;24.14;0
MoF6;2.74;0;3.82;15.32;30.64;0
NH2;1.68;0;0.74;11.40;22.80;9.244
NH3;1.68;0;0.74;10.15;20.30;9.244
NO;1.45;0;0.14;9.27;18.54;0
NO2;1.87;0;2.27;9.78;19.56;3.15
O;1.41;-8.67;1.467;13.62;35.12;0
O3;1.99;0;1.99;12.52;25.04;0
OCN;1.93;0;1.56;13.06;26.12;3.48
OH;1.52;0;1.83;13.18;26.36;13.997
PF3;1.52;0;0;9.71;19.42;0
PH3;1.42;0;0;9.98;19.96;0
PtF6;2.47;0;6.95;15.83;31.66;0
ReF6;2.40;0;4.49;15.55;31.10;0
ReO4;2.27;0;5.58;12.21;24.42;0
RuF6;2.48;0;6.53;15.41;30.82;0
S;1.89;-5.64;2.077;10.36;23.35;0
SCN;2.09;0;2.17;11.92;23.84;-1.3
SO2;1.43;-5.19;1.11;12.43;24.86;0
SO3;1.43;-2.85;2.20;12.72;25.44;7.19
SO4;2.21;-1.44;5.29;12.89;25.78;1.99
SO5;2.21;-1.64;3.30;13.01;26.02;9.86
S2O3;2.51;-1.33;4.11;12.21;24.42;1.6
S2O4;2.62;-2.23;0;12.43;24.86;0
S2O6;2.83;0.62;0;12.72;25.44;0
S2O8;2.91;1.57;0;12.89;25.78;0
Se;1.81;0;2.020;9.75;21.19;0
SeCN;2.30;0;2.64;11.68;23.36;0
SeO3;1.74;0;0;11.60;23.20;8.40
Te;2.20;0;2;9.01;18.6;0
UO2;1.92;0;0;5.50;11.00;,
VO3;2.01;0;4.36;11.42;22.84;14.3
