glassy state molar volume;liquid state molar volume;van der Waals molar volume;heat capacity (solid);heat capacity (liquid);cohession energy;Small attraction constant;molar parachor;enthalpy of fusion;entropy of fusion;melting enthalpy;molar refraction (Lorentz-Lorenz);molar refraction (Gladstone-Dale);molar refraction (Vogel);molar polarization;molar magnetic susceptibility;Rao´s function;molar weight
-CH3;23.9;22.8;13.67;30.9;36.9;9640;438;56.1;-46;95;2.5;5.64;8.82;17.66;5.64;14.5;1.4;15.03502
=CH2;0;0;11.94;22.6;21.8;0;389;50.6;23;30;0;5.47;8.78;17.46;0;9;0;14.02705
#CH;0;0;11.55;0;0;0;356;45.1;112.5;-32.5;0;0;0;0;0;9;0;13.01908
-CH=O;0;0;15.14;0;0;0;0;-65;-125;26;0;5.83;9.63;40.69;0;8.4;0;29.01848
-COOH;0;0;0;-50;98.9;0;0;81.9;-393;118;0;7.21;11.99;64.26;0;19;0;45.01788
-OH prim.;9.7;0;8.04;17.0;44.8;0;0;37.1;-176;50;0;2.55;4.13;24.08;-6;7.5;0.6;17.00737
-OH sec.;9.7;0;8.04;17.0;44.8;0;0;37.1;-176;50;0;2.46;3.95;23.95;-6;7.5;0.6;17.00737
-OH tert.;9.7;0;8.04;17.0;44.8;0;0;37.1;-176;50;0;2.45;3.85;24.05;20;7.5;0.6;17.00737
-O-CH3;33.9;31.3;16.74;47.7;72.5;15930;481;76.1;-166;165;4.2;7.23;11.78;41.51;10.84;19.5;1.8;31.03442
-CO-CH3;38.3;0;25.37;53.95;89.7;0;1001;104;-178;135;0;10.43;17.24;60.67;15.6;21.0;2.3;43.04553
-COO-CH3;46.9;47.4;28.9;76.9;101.9;23050;1102;120.9;-383;221;-1.7;11.88;19.58;82.97;20.64;28.5;2.65;59.04493
-COO-CH2CH3;62.75;63.85;39.1;102.2;132.3;27240;1374;120.9;-405;323;2.1;16.67;27.59;102.79;25.29;39.85;3.53;73.07198
-O-CO-CH3;46.9;47.4;28.9;76.9;101.9;23050;1102;120.9;-383;221;-1.7;11.95;19.69;82.56;20.64;28.5;2.65;59.04493
-O-CO-O-CH3;55.3;-56;32.6;-94;-138;29400;1245;140.9;-503;291;0.0;13.39;22.21;105.46;27.6;35;3.0;75.04433
-CN;19.5;0;14.7;-25;0;25000;839;63.7;123;-28.5;0;5.53;9.08;36.67;11;11;0;26.01781
-NH2;0;0;10.54;20.95;0;0;0;46.7;11.5;102.5;0;4.36;7.25;22.64;0;12;0;16.02264
-NO2;0;0;16.8;41.9;0;0;900;0;-41.5;143;0;6.66;11.01;66.0;0;0;0;46.0055
-SH prim.;0;0;14.81;46.8;52.4;0;644;65.3;13;-33;0;8.85;15.22;50.61;0;18;0;33.07197
-SH sec.;0;0;14.81;46.8;52.4;0;644;65.3;13;-33;0;8.79;15.14;50.33;0;18;0;33.07197
-SH tert.;0;0;14.81;46.8;52.4;0;644;65.3;13;-33;0;9.27;15.66;49.15;0;18;0;33.07197
-F mono;10.9;10.0;6.0;21.4;21.0;4470;-250;25.7;-195;-6;0;0.90;0.88;22.20;1.8;6.6;0.5;18.9984
-F per;10.9;10.0;6.0;21.4;21.0;4470;-250;25.7;-195;-6;0;0.90;0.70;20.92;1.8;6.6;0.5;18.9984
-Cl prim.;19.9;18.4;12.2;27.1;39.8;12990;552;54.3;-49;-9;0;6.05;10.07;51.23;9.5;18.5;1.15;35.453
-Cl sec.;19.9;18.4;12.2;27.1;39.8;12990;552;54.3;-49;-9;0;6.02;9.91;50.31;9.5;18.5;1.15;35.453
-Cl tert.;19.9;18.4;12.2;27.1;39.8;12990;552;54.3;-49;-9;0;5.93;9.84;50.75;9.5;18.5;1.15;35.453
-Br prim.;0;0;14.6;26.3;0;15500;696;68.0;-14;-14;0;8.90;15.15;118.5;0;27.5;0;79.909
-Br sec.;0;0;14.6;26.3;0;15500;696;68.0;-14;-14;0;8.96;15.26;118.4;0;27.5;0;79.909
-Br tert.;0;0;14.6;26.3;0;15500;696;68.0;-14;-14;0;9.03;15.29;119.1;0;27.5;0;79.909
-I;0;0;20.4;22.4;0;0;870;91.0;40;-41;0;13.90;25.0;0;0;43;0;126.904
-cyclo-C5H9;65.6;63.5;46.56;95.2;126.55;-18200;1370;186.4;-70.7;428;0;22.0;36.97;100.99;0;0;0;69.12729
-cyclo-C6H11;90.7;0;56.79;105.6;152.95;-22400;1620;223.0;-115.7;560;0;26.69;44.95;122.66;0;0;0;83.15434
-C6H5;72.7;64.65;45.84;85.6;123.2;31000;1504;190.0;87;167;0;25.51;44.63;123.51;25.5;53;4.65;77.10651
-p-C6H4-OH;75.2;0;51.36;95.8;157.9;0;0;210.0;-76;230;0;27.30;48.33;151.3;-45;57.5;4.7;93.10592
-p-C6H4-NH2;0;0;53.86;99.75;0;0;0;219.6;111.5;282.5;0;29.92;53.2;152.3;0;62;92.12119
-p-C6H4-Cl;85.4;79.8;55.3;105.9;152.9;38130;1898;227.2;51;171;0;30.63;53.62;177.0;34.5;68.5;5.25;111.5515
-CH2-;15.85;16.45;10.23;25.35;30.4;4190;272;39.0;-22;102;3.8;4.65;7.83;20.64;4.65;11.35;0.88;14.02705
-CH<;9.45;9.85;6.78;15.6;20.95;420;57;21.9;-2.7;120;3.8;3.62;6.80;23.49;3.62;9;0.45;13.01908
>CH arom.;0;0;8.06;15.4;22.2;0;0;34.5;12.5;26;0;0;0;0;0;9.2;0;13.01908
=CH-;0;13.88;8.47;18.65;21.4;5100;227;33.5;38;38;1.05;4.44;7.75;20.31;0;6.6;0.7;13.01908
>C<;4.6;4.75;3.33;6.2;7.4;-5580;-190;0;20;140;0;2.58;5.72;26.37;2.58;7;0.05;12.01111
=C< cis;0;6.12;5.01;10.5;15.9;-240;39;16.4;50;50;1.05;3.41;6.67;23.19;0;4.5;0.05;12.01111
=C< trans;0;6.12;5.01;10.5;15.9;-240;39;16.4;44;57;1.05;3.41;6.67;23.19;0;4.5;0.05;12.01111
=C< arom.;0;0;5.54;8.55;12.2;0;0;17.4;25;38;0;0;0;0;0;9.2;0;12.01111
=C=;0;0;6.96;0;0;0;0;28.0;147;-20;0;4.23;7.62;20.01;0;0;0;12.01111
#C-;0;0;8.05;0;0;0;227;28.0;115;-25;0;0;0;0;0;9;0;12.01111
-CHF-;20.35;19.85;13.0;37.0;41.95;4980;-307;47.6;-197;114;0;4.51;7.68;45.7;5.42;15.6;0.95;32.01748
-CF2-;26.4;24.75;15.3;49.0;49.4;3360;-310;56.2;-370;128;0;4.38;7.12;68.2;6.25;20.2;1.05;50.00791
