Ion;Coordination number;Crystal radius;Effective ionic radius
Ac+3;6;1.26;1.12
Ag+;2;0.81;0.67
Ag+;4;1.14;1.00
Ag+;4q;1.16;1.02
Ag+;5;1.23;1.09
Ag+;6;1.29;1.15
Ag+;7;1.36;1.22
Ag+;8;1.42;1.28
Ag+2;4q;0.93;0.79
Ag+2;6;1.08;0.94
Ag+3;4q;0.81;0.67
Ag+3;6;0.89;0.75
Al+3;4;0.53;0.39
Al+3;5;0.62;0.48
Al+3;6;0.675;0.535
Am+2;7;1.35;1.21
Am+2;8;1.40;1.26
Am+2;9;1.45;1.31
Am+3;6;1.115;0.975
Am+3;8;1.23;1.09
Am+4;6;0.99;0.85
Am+4;8;1.09;0.95
As+3;6;0.72;0.58
As+5;4;0.475;0.335
As+5;6;0.60;0.46
! At-;6;213
At+7;5;0.76;0.62
Au+;6;1.51;1.37
Au+3;4q;0.82;0.68
Au+3;6;0.99;0.85
Au+5;6;0.71;0.57
B+3;3;0.15;0.01
B+3;4;0.25;0.11
B+3;6;0.41;0.27
Ba+2;6;1.49;1.35
Ba+2;7;1.52;1.38
Ba+2;8;1.56;1.42
Ba+2;9;1.61;1.47
Ba+2;10;1.66;1.52
Ba+2;11;1.71;1.57
Ba+2;12;1.75;1.61
Be+2;3;0.30;0.16
Be+2;4;0.41;0.27
Be+2;6;0.59;0.45
Bi+3;5;1.10;0.96
Bi+3;6;1.17;1.03
Bi+3;8;1.31;1.17
Bi+5;6;0.90;0.76
Bk+3;6;1.10;0.96
Bk+4;6;0.97;0.83
Bk+4;8;1.07;0.93
Br-;6;1.82;1.96
Br+3;4q;0.73;0.59
Br+5;3p;0.45;0.31
Br+7;4;0.39;0.25
Br+7;4;0.53;0.39
C+4;3;0.06;-0.08
C+4;4;0.29;0.15
C+4;6;0.30;0.16
Ca+2;6;1.14;1.00
Ca+2;7;1.20;1.06
Ca+2;8;1.26;1.12
Ca+2;9;1.32;1.18
Ca+2;10;1.37;1.23
Ca+2;12;1.48;1.34
Cd+2;4;0.92;0.78
Cd+2;5;1.01;0.87
Cd+2;6;1.09;0.95
Cd+2;7;1.17;1.03
Cd+2;8;1.24;1.10
Cd+2;12;1.45;1.31
Ce+3;6;1.15;1.01
Ce+3;7;1.21;1.07
Ce+3;8;1.283;1.143
Ce+3;9;1.336;1.196
Ce+3;10;1.39;1.25
Ce+3;12;1.48;1.34
Ce+4;6;1.01;0.87
Ce+4;8;1.11;0.97
Ce+4;10;1.21;1.07
Ce+4;12;1.28;1.14
Cf+3;6;1.09;0.95
Cf+4;6;0.961;0.821
Cf+4;8;1.06;0.92
Cl-;6;1.67;1.81
Cl+5;3p;0.26;0.12
Cl+7;4;0.22;0.08
Cl+7;6;0.41;0.27
Cm+3;6;1.11;0.97
Cm+4;6;0.99;0.85
Cm+4;8;1.09;0.95
Co+2;4hs;0.72;0.58
Co+2;5;0.81;0.67
Co+2;6ls;0.79;0.65
Co+2;6hs;0.885;0.745
Co+2;8;1.04;0.90
Co+3;6ls;0.685;0.545
Co+3;6hs;0.75;0.61
Co+4;4;0.54;0.40
Co+4;6hs;0.67;0.53
Cr+2;6ls;0.87;0.73
Cr+2;6hs;0.94;0.80
Cr+3;6;0.755;0.615
Cr+4;4;0.55;0.41
Cr+4;6;0.69;0.55
Cr+5;4;0.485;0.345
Cr+5;6;0.63;0.49
Cr+5;8;0.71;0.57
Cr+6;4;0.40;0.26
Cr+6;6;0.58;0.44
Cs+;6;1.81;1.67
Cs+;8;1.88;1.74
