Element;r+1;r+2;r+3;r+4;r+5;r+6;r+7;r+8
Li;0.50;0;0;0;0;0;0;0
Be;0.43;0.32;0;0;0;0;0;0
B;0.35;0.27;0.21;0;0;0;0;0
C;0.28;0.22;0.17;0.15;0;0;0;0
N;0.21;0.17;0.14;0.12;0.11;0;0;0
O;0.14;0.12;0.11;0.09;0.08;0.08;0;0
F;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0
Na;0.86;0;0;0;0;0;0;0
Mg;0.81;0.65;0;0;0;0;0;0
Al;0.76;0.61;0.51;0;0;0;0;0
Si;0.70;0.57;0.48;0.41;0;0;0;0
P;0.65;0.54;0.45;0.38;0.34;0;0;0
S;0.60;0.50;0.42;0.36;0.32;0.29;0;0
Cl;0.55;0.46;0.39;0.34;0.31;0.28;0.26;0
K;1.22;0;0;0;0;0;0;0
Ca;1.19;0.99;0;0;0;0;0;0
Sc;1.16;0.97;0.81;0;0;0;0;0
Ti;1.12;0.94;0.79;0.68;0;0;0;0
V;1.09;0.92;0.77;0.67;0.59;0;0;0
Cr;1.06;0.89;0.76;0.65;0.58;0.52;0;0
Mn;1.03;0.87;0.74;0.64;0.57;0.51;0.46;0
Fe;1.00;0.84;0.72;0.63;0.56;0.50;0.46;0.42
Co;0.97;0.82;0.70;0.61;0.54;0.49;0.45;0.42
Ni;0.93;0.79;0.68;0.60;0.53;0.48;0.44;0.41
Cu;0.90;0.77;0;0;0;0;0;0
Zn;0.87;0.74;0;0;0;0;0;0
Ga;0.84;0.72;0.62;0;0;0;0;0
Ge;0.84;0.69;0.60;0.54;0;0;0;0
As;0.77;0.67;0.59;0.52;0.48;0;0;0
Se;0.74;0.65;0.57;0.51;0.46;0.43;0;0
Br;0.71;0.63;0.55;0.49;0.45;0.42;0.40;0
Rb;1.40;0;0;0;0;0;0;0
Sr;1.38;1.15;0;0;0;0;0;0
Y;1.35;1.13;0.95;0;0;0;0;0
Zr;1.33;1.11;0.93;0.80;0;0;0;0
Nb;1.31;1.09;0.92;0.79;0.70;0;0;0
Mo;1.29;1.08;0.91;0.78;0.69;0.61;0;0
Tc;1.27;1.06;0.89;0.77;0.68;0.60;0.55;0
Ru;1.25;1.04;0.88;0.76;0.67;0.60;0.54;0.50
Rh;1.22;1.02;0.87;0.75;0.66;0.59;0.54;0.49
Pd;1.20;1.01;0.86;0.74;0.65;0.58;0.53;0.49
Ag;1.18;0;0;0;0;0;0;0
Cd;1.15;0.97;0;0;0;0;0;0
In;1.13;0.95;0.81;0;0;0;0;0
Sn;1.11;0.94;0.80;0.70;0;0;0;0
Sb;1.09;0.92;0.79;0.69;0.62;0;0;0
Te;1.07;0.90;0.78;0.68;0.61;0.55;0;0
I;1.05;0.89;0.76;0.67;0.60;0.54;0.50;0
Cs;1.61;0;0;0;0;0;0;0
Ba;1.60;1.37;0;0;0;0;0;0
La;1.59;1.36;1.16;0;0;0;0;0
Ce;0;1.34;1.15;1.01;0;0;0;0
Pr;0;1.33;1.14;1.00;0;0;0;0
Nd;0;1.32;1.14;1.00;0;0;0;0
Pm;0;1.31;1.13;0.99;0;0;0;0
Sm;0;1.30;1.12;0.98;0;0;0;0
Eu;0;1.29;1.11;0.98;0;0;0;0
Gd;0;1.28;1.10;0.97;0;0;0;0
Tb;0;1.27;1.09;0.96;0;0;0;0
Dy;0;1.26;1.08;0.95;0;0;0;0
Ho;0;1.25;1.08;0.95;0;0;0;0
Er;0;1.25;1.08;0.95;0;0;0;0
Tm;0;1.23;1.06;0.93;0;0;0;0
Yb;0;1.22;1.05;0.93;0;0;0;0
Lu;0;1.21;1.04;0.92;0;0;0;0
Hf;1.38;1.19;1.03;0.91;0;0;0;0
Ta;1.37;1.17;1.02;0.90;0.80;0;0;0
W;1.36;1.17;1.01;0.90;0.80;0.72;0;0
Re;1.34;1.16;1.01;0.89;0.79;0.71;0.65;0
Os;1.33;1.15;1.00;0.88;0.78;0.71;0.64;0.60
Ir;1.31;1.13;0.99;0.87;0.78;0.70;0.64;0.59
Pt;1.30;1.12;0.98;0.87;0.77;0.70;0.63;0.59
Au;1.29;1.11;0.97;0;0;0;0;0
Hg;1.27;1.10;0;0;0;0;0;0
Tl;1.26;1.09;0.95;0;0;0;0;0
Pb;1.25;1.08;0.94;0.84;0;0;0;0
Bi;1.23;1.07;0.93;0.83;0.74;0;0;0
Po;1.22;1.06;0.92;0.82;0.74;0.67;0;0
At;1.21;1.05;0.92;0.82;0.73;0.67;0.61;0
Fr;1.67;1.42;1.22;0;0;0;0;0;0
Ra;1.66;1.42;0;0;0;0;0;0
Ac;1.65;1.41;1.20;0;0;0;0;0
Th;1.64;1.40;1.20;1.05;0;0;0;0
Pa;1.63;1.39;1.19;1.05;0.92;0;0;0
U;1.62;1.38;1.18;1.04;0.91;0.81;0;0
Np;1.62;1.38;1.18;1.04;0.91;0.81;0.73;0
