Group;mi(kJ.mol-1);bi(kJ.mol-1);SP3;SP2;n(aliphatic C)
=C< arom.;0.097;-0.704;0;0;0
=CH- arom.;1.94;5.67;0;0;0
=C< sp2-sp2;-2.14;-4.98;0;1;1
=C< sp2-sp;-2.14;-4.98;0;0;1
-N= arom.;3.46;6.15;0;0;0
-F arom.;1.95;5.89;0;0;0
-Cl arom.;3.40;9.33;0;0;0
-Br arom.;3.90;10.96;0;0;0
-I arom.;4.44;13.63;0;0;0
-CH3 arom.;2.60;8.04;1;0;1
-NO2 arom.;7.28;13.11;0;1;0
-CN arom.;8.20;11.61;0;0;1
-NCS arom.;8.78;15.10;0;1;1
-SCN arom.;4.61;16.86;1;0;1
-OH arom.;7.11;11.61;1;0;0
-NH2 arom.;6.52;13.05;1;0;0
-CONH2 arom.;14.97;18.46;1;1;1
-COOH arom.;14.69;17.07;1;1;1
-CHO arom.;7.73;11.22;0;1;1
-SH arom.;7.73;11.54;1;0;0
-O- arom.;-5.43;-9.64;1;0;0
-S- arom.;-3.86;-5.35;1;0;0
-CO- arom.;2.19;3.39;0;1;1
-SO- arom.;0.03;-1.38;0;1;0
-SO2- arom.;1.16;2.04;0;1;0
-NH- arom.;-1.74;-7.23;1;0;0
-CH2- ar.+alif.;-0.5;0;1;0;1
-CH2- arom.;-5.11;-8.77;1;0;1
-CH< ar.+alif.;-1.6;0;1;0;1
>C< ar.+alif.;-3.1;0;1;0;1
-COO- arom.;-0.77;-0.80;1;1;1
-O- ar.cycl.;2.49;6.11;0;0;0
-S- ar.cycl.;2.69;6.82;0;0;0
-CO- ar.cycl.;4.27;7.81;0;0;0
-SO- ar.cycl.;7.65;0;0;0;0
-SO2- ar.cycl.;10.88;0;0;0;0
-NH- ar.cycl.;6.92;9.98;0;0;0
-N= ar.cycl.;3.1;0;0;0;0
-CH2- ar.cycl.;2.19;0;0;0
-CH= ar.cycl.;1.7;0;0;0;0
=C< ar.cycl.;0.1;0;0;0;0
-COO- ar.cycl.;8.96;16.70;0;0;0
-CH3 sp3;1.7;0;1;0;1
-CH2- sp3;2.2;0;1;0;1
-CH< sp3;0.4;0;1;0;1
>C< sp3;0.1;0;1;0;1
-CH= sp3;2.2;0;0;1;1
=C< sp3;1.5;0;0;1;1
-C# sp3;1.6;0;0;0;1
-CHO sp3;7.1;0;0;1;1
-CO- sp3;6.6;0;0;1;1
-COO- sp3;6.6;0;1;1;1
-CN sp3;5.9;0;0;0;1
-F sp3;2.0;0;0;0;0
-Cl sp3;4.0;0;0;0;0
-Br sp3;4.7;0;0;0;0
-I sp3;6.0;0;0;0;0
-S- sp3;4.0;0;1;0;0
-SCN sp3;8.6;0;1;0;1
-O- sp3;3.2;0;1;0;0
-NO2 sp3;7.5;0;0;1;0
-NCS sp3;9.2;0;1;0;1
-CH3 sp2;1.2;0;1;0;1
-CH2- sp2;1.3;0;1;0;1
-CH< sp2;-0.5;0;1;0;1
>C< sp2;-1.0;0;1;0;1
=CH2 sp2;1.2;0;0;1;1
-CH= sp2;2.2;0;0;1;1
=C< sp2;1.5;0;0;1;1
=C= sp2;1.2;0;0;0;1
#CH sp2;2.5;0;0;0;1
-C# sp2;1.6;0;0;0;1
-CHO sp2;6.4;0;0;1;1
-CO- sp2;4.7;0;0;1;1
-CN sp2;4.3;0;0;0;1
-F sp2;1.5;0;0;0;0
-Cl sp2;2.2;0;0;0;0
-Br sp2;3.0;0;0;0;0
-I sp2;4.2;0;0;0;0
-O- sp2;2.7;0;1;0;0
-CH3 sp;1.2;0;1;0;1
-CH2- sp;1.3;0;1;0;1
-CH< sp;-0.5;0;1;0;1
>C< sp;-1.0;0;1;0;1
=CH2 sp;1.2;0;0;1;1
-CH= sp;2.2;0;0;1;1
=C< sp;1.5;0;0;1;1
=C= sp;1.2;0;0;0;1
#CH sp;2.5;0;0;0;1
-C# sp;1.6;0;0;0;1
-CHO sp;6.4;0;0;1;1
-CO- sp;4.7;0;0;1;1
-CN sp;4.3;0;0;0;1
-F sp;1.5;0;0;0;0
-Cl sp;2.2;0;0;0;0
-Br sp;3.0;0;0;0;0
-I sp;4.2;0;0;0;0
-O- sp;2.7;0;1;0;0
GEM;-1.1;0;0;0;0
VIC;-0.2;0;0;0;0
RING3;-0.1;0;0;0;0
RING4;-0.2;0;0;0;0
RING5;-0.8;0;0;0;0
RING6+;-0.7;0;0;0;0
CHbridge;1.6;0;0;0;0
Cbridge;6.0;0;0;0;0
IHB-4;3.96;4.81;0;0;0
IHB-5;-1.0;0;0;0;0
IHB-5;-1.11;-1.42;0;0;0
IHB-6;-1.82;-0.88;0;0;0
IHB-7;-2.61;-2.36;0;0;0
CBIP;-2.0;0;0;0;0
OBIP;-1.19;-1.63;0;0;0
